Date,Account,Payee,Category,Memo,Amount
2025-03-05,Capital One,Gent Cuts and Grooming,Haircuts/Grooming,,-64.25
2025-03-05,Capital One,Walmart,Split,,-38.84
2025-03-05,FREE CHECKING,Target,Split,,-15.86
2025-03-05,Capital One,Steam,Seth Spending,,-8.66
2025-03-06,FREE CHECKING,Transfer : Capital One,Uncategorized,,-373.96
2025-03-06,Capital One,VE BLOOMINGTON,Rock Climbing Membership,,-119.93
2025-03-06,Capital One,CITY OF BELLE PLAINE UTI,Water,,-87.65
2025-03-06,FREE CHECKING,New York Life Insurance,Meagan's Life Insurance,,-16.0
2025-03-06,Capital One,CITY OF BELLE PLAINE UTI,Water,,-4.82
2025-03-06,Capital One,Transfer : FREE CHECKING,Uncategorized,,373.96
2025-03-07,FREE CHECKING,Transfer : Capital One,Uncategorized,,-288.9
2025-03-07,Capital One,Transfer : FREE CHECKING,Uncategorized,,288.9
2025-03-10,Capital One,RUBY`S FAMILY RESTAURANT,Eating Out / Takeout,,-55.08
2025-03-10,Capital One,Massage Envy,Meagan Spending,,-20.0
2025-03-11,FREE CHECKING,Transfer : Capital One,Uncategorized,,-212.4
2025-03-11,Capital One,Amazon,Pet Expenses,,-71.53
2025-03-11,FREE CHECKING,MetroNet,Internet,,-67.9
2025-03-11,Capital One,Aldi,Groceries,,-49.04
2025-03-11,Capital One,Google,Meagan Spending,,-2.93
2025-03-11,Capital One,Transfer : FREE CHECKING,Uncategorized,,212.4
2025-03-12,FREE CHECKING,Transfer : Capital One,Uncategorized,,-75.08
2025-03-12,Capital One,Coborn's Gas,Gas,,-32.94
2025-03-12,Capital One,Transfer : FREE CHECKING,Uncategorized,,75.08
2025-03-13,FREE CHECKING,Transfer : Capital One,Uncategorized,,-123.5
2025-03-13,Capital One,Jersey Mike's,Eating Out / Takeout,,-19.58
2025-03-13,Capital One,Transfer : FREE CHECKING,Uncategorized,,123.5
2025-03-14,FREE CHECKING,Transfer : 360 Performance Savings - 360 Performance Savings,Uncategorized,,-5000.0
2025-03-14,Capital One,Massage Envy,Meagan Spending,,-87.22
2025-03-14,FREE CHECKING,External Deposit - N8342 FLY FOR GO 208843589 - DIR DEP,Inflow: Ready to Assign,,1449.89
2025-03-14,360 Performance Savings - 360 Performance Savings,Transfer : FREE CHECKING,Uncategorized,,5000.0
2025-03-14,FREE CHECKING,External Deposit - INTERNATIONAL DE 304254681 57 - DIRECT DEP,Inflow: Ready to Assign,,9615.0
2025-03-15,Capital One,Coborn's,Alchohol,,-52.71
2025-03-15,FREE CHECKING,Transfer : Capital One,Uncategorized,,-52.52
2025-03-15,Capital One,Coborn's,Groceries,,-24.56
2025-03-15,Capital One,Transfer : FREE CHECKING,Uncategorized,,52.52
2025-03-17,FREE CHECKING,Transfer : Capital One,Uncategorized,,-164.49
2025-03-17,FREE CHECKING,Transfer : Seth ROTH IRA,Inflow: Ready to Assign,,-133.24
2025-03-17,Capital One,Fleet Farm,Home Maintenance,,-54.15
2025-03-17,Capital One,Fleet Farm Fuel,Gas,,-28.59
2025-03-17,Capital One,Schram Haus Brewery,Eating Out / Takeout,,-20.99
2025-03-17,Capital One,Schram Haus Brewery,Eating Out / Takeout,,-16.09
2025-03-17,Seth ROTH IRA,Transfer : FREE CHECKING,Uncategorized,,133.24
2025-03-17,Capital One,Transfer : FREE CHECKING,Uncategorized,,164.49
2025-03-19,FREE CHECKING,Transfer : 360 Performance Savings - 360 Performance Savings,Uncategorized,,-5000.0
